HW,kernel,stride,Cin,Cout,FLOPs,latency
224,5,2,512,1024,3.28833E+11,1089.166
224,5,2,1024,3,1926758400,211.771
224,5,2,1024,32,20552089600,333.76
224,5,2,1024,64,41104179200,381.296
224,5,2,1024,128,82208358400,477.509
224,5,2,1024,256,1.64417E+11,728.832
224,5,2,1024,512,3.28833E+11,1242.484
224,5,2,1024,1024,6.57667E+11,2193.694
224,5,4,3,3,1411200,0.395
224,5,4,3,32,15052800,0.859
224,5,4,3,64,30105600,0.83
224,5,4,3,128,60211200,0.941
224,5,4,3,256,120422400,1.492
224,5,4,3,512,240844800,2.356
224,5,4,3,1024,481689600,3.018
224,5,4,32,3,15052800,2
224,5,4,32,32,160563200,3.511
224,5,4,32,64,321126400,4.234
224,5,4,32,128,642252800,5.513
224,5,4,32,256,1284505600,8.75
224,5,4,32,512,2569011200,13.268
224,5,4,32,1024,5138022400,18.791
224,5,4,64,3,30105600,4.019
224,5,4,64,32,321126400,6.054
224,5,4,64,64,642252800,7.267
224,5,4,64,128,1284505600,11.075
224,5,4,64,256,2569011200,14.828
224,5,4,64,512,5138022400,25.703
224,5,4,64,1024,10276044800,37.044
224,5,4,128,3,60211200,7.501
224,5,4,128,32,642252800,11.894
224,5,4,128,64,1284505600,13.547
224,5,4,128,128,2569011200,19.843
224,5,4,128,256,5138022400,32.575
224,5,4,128,512,10276044800,44.97
224,5,4,128,1024,20552089600,75.684
224,5,4,256,3,120422400,14.731
224,5,4,256,32,1284505600,24.005
224,5,4,256,64,2569011200,28.459
224,5,4,256,128,5138022400,41.276
224,5,4,256,256,10276044800,62.207
224,5,4,256,512,20552089600,87.678
224,5,4,256,1024,41104179200,152.606
224,5,4,512,3,240844800,31.016
224,5,4,512,32,2569011200,49.132
224,5,4,512,64,5138022400,54.819
224,5,4,512,128,10276044800,80.585
224,5,4,512,256,20552089600,124.79
224,5,4,512,512,41104179200,177.423
224,5,4,512,1024,82208358400,299.751
224,5,4,1024,3,481689600,60.461
224,5,4,1024,32,5138022400,95.959
224,5,4,1024,64,10276044800,107.955
224,5,4,1024,128,20552089600,159.01
224,5,4,1024,256,41104179200,244.905
224,5,4,1024,512,82208358400,353.337
224,5,4,1024,1024,1.64417E+11,585.304
224,7,1,3,3,44255232,2.969
224,7,1,3,32,472055808,5.66
224,7,1,3,64,944111616,7.119
224,7,1,3,128,1888223232,11.742
224,7,1,3,256,3776446464,18.179
224,7,1,3,512,7552892928,28.117
224,7,1,3,1024,15105785856,57.551
224,7,1,32,3,472055808,39.096
224,7,1,32,32,5035261952,58.645
224,7,1,32,64,10070523904,63.45
224,7,1,32,128,20141047808,95.511
224,7,1,32,256,40282095616,155.421
224,7,1,32,512,80564191232,277.494
224,7,1,32,1024,1.61128E+11,522.475
224,7,1,64,3,944111616,71.875
224,7,1,64,32,10070523904,112.745
224,7,1,64,64,20141047808,127.635
224,7,1,64,128,40282095616,178.543
224,7,1,64,256,80564191232,301.66
224,7,1,64,512,1.61128E+11,552.43
224,7,1,64,1024,3.22257E+11,1027.778
224,7,1,128,3,1888223232,140.681
224,7,1,128,32,20141047808,219.302
224,7,1,128,64,40282095616,240.714
224,7,1,128,128,80564191232,356.451
224,7,1,128,256,1.61128E+11,609.722
224,7,1,128,512,3.22257E+11,1118.912
224,7,1,128,1024,6.44514E+11,2040.251
224,7,1,256,3,3776446464,290.867
224,7,1,256,32,40282095616,443.139
224,7,1,256,64,80564191232,489.989
224,7,1,256,128,1.61128E+11,723.88
224,7,1,256,256,3.22257E+11,1199.056
224,7,1,256,512,6.44514E+11,2209.58
224,7,1,256,1024,1.28903E+12,4205.433
224,7,1,512,3,7552892928,600.847
224,7,1,512,32,80564191232,884.907
224,7,1,512,64,1.61128E+11,942.576
224,7,1,512,128,3.22257E+11,1418.644
224,7,1,512,256,6.44514E+11,2438.81
224,7,1,512,512,1.28903E+12,4545.447
224,7,1,512,1024,2.57805E+12,8643.316
224,7,1,1024,3,15105785856,1332.881
224,7,1,1024,32,1.61128E+11,2248.868
224,7,1,1024,64,3.22257E+11,2969.671
