HW,output,Cin,latency
32,6,963,0.332
32,6,993,0.335
32,6,1023,0.349
32,1,3,0.006
32,1,33,0.048
32,1,63,0.055
32,1,93,0.059
32,1,123,0.058
32,1,153,0.059
32,1,183,0.06
32,1,213,0.064
32,1,243,0.061
32,1,273,0.066
32,1,303,0.065
32,1,333,0.068
32,1,363,0.069
32,1,393,0.078
32,1,423,0.075
32,1,453,0.085
32,1,483,0.089
32,1,513,0.104
32,1,543,0.102
32,1,573,0.107
32,1,603,0.104
32,1,633,0.095
32,1,663,0.095
32,1,693,0.098
32,1,723,0.102
32,1,753,0.101
32,1,783,0.103
32,1,813,0.105
32,1,843,0.109
32,1,873,0.109
32,1,903,0.109
32,1,933,0.114
32,1,963,0.115
32,1,993,0.118
32,1,1023,0.117
28,28,3,0.04
28,28,33,0.072
28,28,63,0.106
28,28,93,0.123
28,28,123,0.133
28,28,153,0.146
28,28,183,0.137
28,28,213,0.155
28,28,243,0.183
28,28,273,0.205
28,28,303,0.204
28,28,333,0.237
28,28,363,0.225
28,28,393,0.237
28,28,423,0.263
28,28,453,0.269
28,28,483,0.273
28,28,513,0.34
28,28,543,0.371
28,28,573,0.369
28,28,603,0.382
28,28,633,0.401
28,28,663,0.424
28,28,693,0.433
28,28,723,0.432
