HW,kernel,stride,Cin,FLOPs,latency
32,5,2,256,34565248,6.954
32,5,2,512,132110592,14.169
32,5,2,1024,516141568,28.76
32,5,4,3,11434.5,0.117
32,5,4,6,25319.25,0.197
32,5,4,8,35937,0.238
32,5,4,16,89298,0.402
32,5,4,32,248292,0.789
32,5,4,64,775368,1.513
32,5,4,128,2665872,3.046
32,5,4,256,9792288,6.242
32,5,4,512,37426752,12.808
32,5,4,1024,146222208,25.746
32,7,1,3,262392,0.144
32,7,1,6,555060,0.254
32,7,1,8,766992,0.33
32,7,1,16,1749280,0.878
32,7,1,32,4359744,1.427
32,7,1,64,12164224,2.673
32,7,1,128,38107392,5.397
32,7,1,256,131330560,10.381
32,7,1,512,483124224,21.456
32,7,1,1024,1848100864,42.515
32,7,2,3,70200,0.131
32,7,2,6,148500,0.218
32,7,2,8,205200,0.3
32,7,2,16,468000,0.611
32,7,2,32,1166400,1.24
32,7,2,64,3254400,2.419
32,7,2,128,10195200,4.646
32,7,2,256,35136000,9.547
32,7,2,512,129254400,19.042
32,7,2,1024,494438400,36.708
32,7,4,3,19968,0.113
32,7,4,6,42240,0.156
32,7,4,8,58368,0.215
32,7,4,16,133120,0.422
32,7,4,32,331776,0.854
32,7,4,64,925696,1.633
32,7,4,128,2899968,3.236
32,7,4,256,9994240,6.532
32,7,4,512,36765696,13.289
32,7,4,1024,140640256,26.234
32,9,1,3,395136,0.185
32,9,1,6,818496,0.332
32,9,1,8,1116416,0.442
32,9,1,16,2433536,1.028
32,9,1,32,5669888,1.872
32,9,1,64,14551040,3.618
32,9,1,128,41947136,7.166
32,9,1,256,135274496,14.509
32,9,1,512,476069888,28.941
32,9,1,1024,1774223360,58.32
32,9,2,3,105966,0.187
32,9,2,6,219501,0.263
32,9,2,8,299396,0.375
32,9,2,16,652616,0.833
32,9,2,32,1520528,1.727
32,9,2,64,3902240,3.287
32,9,2,128,11249216,6.386
32,9,2,256,36277376,13.034
32,9,2,512,127670528,25.271
32,9,2,1024,475804160,49.878
32,9,4,3,30271.5,0.104
32,9,4,6,62705.25,0.191
32,9,4,8,85529,0.235
32,9,4,16,186434,0.456
32,9,4,32,434372,0.873
32,9,4,64,1114760,1.721
32,9,4,128,3213584,3.356
32,9,4,256,10363424,6.718
32,9,4,512,36471872,13.631
32,9,4,1024,135923840,27.718
28,1,1,3,18816,0.021
28,1,1,6,65856,0.036
28,1,1,8,112896,0.046
28,1,1,16,426496,0.088
28,1,1,32,1655808,0.168
28,1,1,64,6522880,0.332
28,1,1,128,25890816,0.654
