HW,kernel,stride,Cin,latency
32,9,4,803,2.417
32,9,4,853,2.598
32,9,4,903,2.77
32,9,4,953,2.93
32,9,4,1003,3.007
28,1,1,3,0.039
28,1,1,53,0.147
28,1,1,103,0.176
28,1,1,153,0.252
28,1,1,203,0.302
28,1,1,253,0.362
28,1,1,303,0.38
28,1,1,353,0.452
28,1,1,403,0.496
28,1,1,453,0.568
28,1,1,503,0.661
28,1,1,553,0.755
28,1,1,603,0.791
28,1,1,653,0.838
28,1,1,703,0.914
28,1,1,753,0.95
28,1,1,803,1.002
28,1,1,853,1.086
28,1,1,903,1.138
28,1,1,953,1.177
28,1,1,1003,1.252
28,1,2,3,0.04
28,1,2,53,0.095
28,1,2,103,0.12
28,1,2,153,0.161
28,1,2,203,0.183
28,1,2,253,0.188
28,1,2,303,0.214
28,1,2,353,0.239
28,1,2,403,0.273
28,1,2,453,0.29
28,1,2,503,0.368
28,1,2,553,0.333
28,1,2,603,0.417
28,1,2,653,0.301
28,1,2,703,0.476
28,1,2,753,0.36
28,1,2,803,0.38
28,1,2,853,0.364
28,1,2,903,0.432
28,1,2,953,0.405
28,1,2,1003,0.448
28,1,4,3,0.042
28,1,4,53,0.038
28,1,4,103,0.058
28,1,4,153,0.063
28,1,4,203,0.102
28,1,4,253,0.151
28,1,4,303,0.153
28,1,4,353,0.193
28,1,4,403,0.195
28,1,4,453,0.176
28,1,4,503,0.281
28,1,4,553,0.298
28,1,4,603,0.35
28,1,4,653,0.297
28,1,4,703,0.275
28,1,4,753,0.307
28,1,4,803,0.354
28,1,4,853,0.275
28,1,4,903,0.326
28,1,4,953,0.336
28,1,4,1003,0.273
28,3,1,3,0.043
28,3,1,53,0.209
28,3,1,103,0.353
28,3,1,153,0.516
28,3,1,203,0.715
28,3,1,253,0.823
28,3,1,303,0.927
28,3,1,353,1.099
28,3,1,403,1.229
28,3,1,453,1.39
28,3,1,503,1.624
28,3,1,553,1.817
28,3,1,603,1.897
28,3,1,653,2.08
28,3,1,703,2.208
28,3,1,753,2.355
28,3,1,803,2.479
28,3,1,853,2.64
28,3,1,903,2.776
28,3,1,953,2.928
28,3,1,1003,3.081
28,3,2,3,0.05
28,3,2,53,0.146
28,3,2,103,0.159
28,3,2,153,0.265
28,3,2,203,0.247
28,3,2,253,0.335
28,3,2,303,0.314
28,3,2,353,0.435
28,3,2,403,0.465
28,3,2,453,0.579
28,3,2,503,0.525
28,3,2,553,0.535
28,3,2,603,0.582
28,3,2,653,0.627
28,3,2,703,0.815
28,3,2,753,0.652
28,3,2,803,0.698
28,3,2,853,0.809
