in_features,out_features,FLOPs,latency
2110,1960,8269240,1.852
2110,2110,8902090,1.701
2110,2260,9534940,1.985
2110,2410,10167790,2.075
2110,2560,10800640,2.468
2110,2710,11433490,2.53
2110,2860,12066340,2.512
2110,3010,12699190,2.795
2110,3160,13332040,3.115
2110,3310,13964890,3.098
2110,3460,14597740,3.191
2110,3610,15230590,3.419
2110,3760,15863440,3.439
2110,3910,16496290,3.618
2110,4060,17129140,3.777
2110,4210,17761990,3.443
2110,4360,18394840,3.731
2110,4510,19027690,4.507
2110,4660,19660540,3.969
2110,4810,20293390,4.101
2110,4960,20926240,4.222
2110,5110,21559090,4.454
2110,5260,22191940,4.918
2110,5410,22824790,4.711
2110,5560,23457640,4.832
2110,5710,24090490,5.005
2110,5860,24723340,5.152
2110,6010,25356190,5.125
2110,6160,25989040,5.395
2110,6310,26621890,5.591
2110,6460,27254740,5.497
2110,6610,27887590,5.801
2110,6760,28520440,6.206
2110,6910,29153290,5.909
2110,7060,29786140,6.245
2110,7210,30418990,6.174
2110,7360,31051840,6.455
2110,7510,31684690,6.706
2110,7660,32317540,6.619
2110,7810,32950390,7.046
2110,7960,33583240,7.262
2110,8110,34216090,7.078
2260,10,45190,0.015
2260,160,723040,0.224
2260,310,1400890,0.299
2260,460,2078740,0.349
2260,610,2756590,0.374
2260,760,3434440,0.439
2260,910,4112290,0.55
2260,1060,4790140,0.55
2260,1210,5467990,0.766
2260,1360,6145840,0.891
2260,1510,6823690,0.927
2260,1660,7501540,1.239
2260,1810,8179390,1.249
2260,1960,8857240,1.431
2260,2110,9535090,1.657
2260,2260,10212940,1.719
2260,2410,10890790,2.007
2260,2560,11568640,2.112
2260,2710,12246490,2.272
2260,2860,12924340,2.26
2260,3010,13602190,2.4
2260,3160,14280040,2.681
2260,3310,14957890,2.691
2260,3460,15635740,2.881
2260,3610,16313590,3.198
2260,3760,16991440,3.204
2260,3910,17669290,3.285
2260,4060,18347140,3.305
2260,4210,19024990,3.234
2260,4360,19702840,3.323
2260,4510,20380690,3.413
2260,4660,21058540,3.59
2260,4810,21736390,3.559
2260,4960,22414240,3.656
2260,5110,23092090,3.878
2260,5260,23769940,3.999
2260,5410,24447790,4.128
2260,5560,25125640,4.36
2260,5710,25803490,4.402
2260,5860,26481340,4.408
2260,6010,27159190,4.666
2260,6160,27837040,4.782
2260,6310,28514890,4.85
2260,6460,29192740,5.342
2260,6610,29870590,5.261
2260,6760,30548440,5.22
2260,6910,31226290,5.376
2260,7060,31904140,5.696
2260,7210,32581990,5.72
2260,7360,33259840,5.659
2260,7510,33937690,8.322
2260,7660,34615540,17.096
2260,7810,35293390,9.813
2260,7960,35971240,8.732
2260,8110,36649090,7.178
2410,10,48190,0.017
2410,160,771040,0.214
2410,310,1493890,0.27
2410,460,2216740,0.38
2410,610,2939590,0.469
2410,760,3662440,0.66
2410,910,4385290,0.934
2410,1060,5108140,1.143
2410,1210,5830990,0.94
2410,1360,6553840,3.268
2410,1510,7276690,1.53
2410,1660,7999540,1.708
2410,1810,8722390,1.843
2410,1960,9445240,2.164
2410,2110,10168090,2.099
2410,2260,10890940,2.417
2410,2410,11613790,2.736
2410,2560,12336640,3.395
2410,2710,13059490,3.195
2410,2860,13782340,3.432
2410,3010,14505190,3.528
2410,3160,15228040,4.204
2410,3310,15950890,4.007
2410,3460,16673740,3.595
2410,3610,17396590,3.64
2410,3760,18119440,5.201
2410,3910,18842290,9.435
2410,4060,19565140,4.584
2410,4210,20287990,6.003
2410,4360,21010840,6.563
2410,4510,21733690,6.893
2410,4660,22456540,6.246
2410,4810,23179390,5.116
2410,4960,23902240,6.205
2410,5110,24625090,5.768
2410,5260,25347940,7.815
2410,5410,26070790,6.822
2410,5560,26793640,5.947
2410,5710,27516490,6.811
2410,5860,28239340,7.792
2410,6010,28962190,8.018
2410,6160,29685040,7.053
2410,6310,30407890,7.15
2410,6460,31130740,7.534
2410,6610,31853590,7.084
2410,6760,32576440,6.603
2410,6910,33299290,7.657
2410,7060,34022140,7.182
2410,7210,34744990,8.274
2410,7360,35467840,6.81
2410,7510,36190690,7.954
2410,7660,36913540,7.7
2410,7810,37636390,7.086
2410,7960,38359240,7.756
2410,8110,39082090,7.683
2560,10,51190,0.016
2560,160,819040,0.203
2560,310,1586890,0.28
2560,460,2354740,0.417
2560,610,3122590,0.409
2560,760,3890440,0.428
2560,910,4658290,0.447
2560,1060,5426140,0.531
2560,1210,6193990,0.652
2560,1360,6961840,0.7
2560,1510,7729690,0.994
2560,1660,8497540,1.044
2560,1810,9265390,1.236
2560,1960,10033240,1.193
2560,2110,10801090,1.664
2560,2260,11568940,2.052
2560,2410,12336790,1.935
2560,2560,13104640,1.471
2560,2710,13872490,1.527
2560,2860,14640340,2.214
2560,3010,15408190,1.957
2560,3160,16176040,1.974
2560,3310,16943890,1.908
2560,3460,17711740,2.181
2560,3610,18479590,3.587
2560,3760,19247440,2.248
2560,3910,20015290,2.483
2560,4060,20783140,3.086
2560,4210,21550990,2.332
2560,4360,22318840,2.5
2560,4510,23086690,2.667
2560,4660,23854540,2.502
2560,4810,24622390,2.715
2560,4960,25390240,2.789
2560,5110,26158090,2.76
2560,5260,26925940,2.872
2560,5410,27693790,3.463
2560,5560,28461640,4.69
2560,5710,29229490,3.165
2560,5860,29997340,3.315
2560,6010,30765190,4.613
2560,6160,31533040,3.515
2560,6310,32300890,4.187
2560,6460,33068740,5.548
2560,6610,33836590,5.42
2560,6760,34604440,6.052
2560,6910,35372290,7.047
2560,7060,36140140,7.374
2560,7210,36907990,5.226
2560,7360,37675840,7.355
2560,7510,38443690,17.097
2560,7660,39211540,8.246
2560,7810,39979390,6.993
2560,7960,40747240,7.034
2560,8110,41515090,6.204
2710,10,54190,0.018
2710,160,867040,0.345
2710,310,1679890,0.449
2710,460,2492740,0.405
2710,610,3305590,0.638
2710,760,4118440,0.89
2710,910,4931290,0.7
2710,1060,5744140,0.698
2710,1210,6556990,0.979
2710,1360,7369840,1.167
2710,1510,8182690,2.417
2710,1660,8995540,2.018
2710,1810,9808390,2.763
2710,1960,10621240,2.477
2710,2110,11434090,2.78
2710,2260,12246940,2.75
2710,2410,13059790,2.891
2710,2560,13872640,2.612
2710,2710,14685490,2.912
2710,2860,15498340,3.417
2710,3010,16311190,3.968
2710,3160,17124040,4.324
2710,3310,17936890,4.419
2710,3460,18749740,4.201
