HW,Cin,latency
13,668,0.134
13,673,0.137
13,678,0.139
13,683,0.14
13,688,0.137
13,693,0.134
13,698,0.137
13,703,0.136
13,708,0.152
13,713,0.143
13,718,0.145
13,723,0.149
13,728,0.154
13,733,0.146
13,738,0.148
13,743,0.143
13,748,0.142
13,753,0.155
13,758,0.144
13,763,0.144
13,768,0.167
13,773,0.152
13,778,0.146
13,783,0.144
13,788,0.147
13,793,0.149
13,798,0.145
13,803,0.153
13,808,0.161
13,813,0.149
13,818,0.151
13,823,0.15
13,828,0.154
13,833,0.149
13,838,0.148
13,843,0.153
13,848,0.162
13,853,0.146
13,858,0.155
13,863,0.16
13,868,0.148
13,873,0.164
13,878,0.156
13,883,0.161
13,888,0.161
13,893,0.158
13,898,0.154
13,903,0.167
13,908,0.157
13,913,0.155
13,918,0.162
13,923,0.169
13,928,0.157
13,933,0.161
13,938,0.168
13,943,0.165
13,948,0.157
13,953,0.16
13,958,0.178
13,963,0.163
13,968,0.167
13,973,0.16
13,978,0.165
13,983,0.167
13,988,0.163
13,993,0.175
13,998,0.161
13,1003,0.17
13,1008,0.162
13,1013,0.165
13,1018,0.164
13,1023,0.167
8,3,0.088
8,8,0.118
8,13,0.084
8,18,0.078
8,23,0.087
8,28,0.077
8,33,0.104
8,38,0.092
8,43,0.089
8,48,0.097
8,53,0.087
8,58,0.092
8,63,0.091
8,68,0.09
8,73,0.089
8,78,0.079
8,83,0.076
8,88,0.078
8,93,0.09
8,98,0.077
8,103,0.09
8,108,0.107
8,113,0.076
8,118,0.08
8,123,0.087
8,128,0.078
8,133,0.087
8,138,0.142
8,143,0.078
8,148,0.085
8,153,0.089
8,158,0.087
8,163,0.09
8,168,0.081
8,173,0.127
8,178,0.09
8,183,0.12
8,188,0.089
8,193,0.091
8,198,0.09
8,203,0.094
8,208,0.084
8,213,0.091
8,218,0.091
8,223,0.097
8,228,0.093
8,233,0.099
8,238,0.092
8,243,0.096
8,248,0.104
8,253,0.089
8,258,0.093
8,263,0.094
8,268,0.102
8,273,0.106
8,278,0.095
8,283,0.099
8,288,0.099
8,293,0.106
8,298,0.1
8,303,0.149
