HW,kernel,stride,Cin,FLOPs,latency
28,7,2,8,154128,0.054
28,7,2,16,351520,0.053
28,7,2,32,876096,0.057
28,7,2,64,2444416,0.061
28,7,2,128,7657728,0.07
28,7,2,256,26391040,0.099
28,7,2,512,97084416,0.133
28,7,2,1024,371378176,0.189
28,7,4,3,15288,0.046
28,7,4,6,32340,0.044
28,7,4,8,44688,0.058
28,7,4,16,101920,0.054
28,7,4,32,254016,0.064
28,7,4,64,708736,0.068
28,7,4,128,2220288,0.068
28,7,4,256,7651840,0.079
28,7,4,512,28148736,0.098
28,7,4,1024,107677696,0.132
28,9,1,3,290304,0.057
28,9,1,6,601344,0.059
28,9,1,8,820224,0.061
28,9,1,16,1787904,0.061
28,9,1,32,4165632,0.063
28,9,1,64,10690560,0.09
28,9,1,128,30818304,0.124
28,9,1,256,99385344,0.181
28,9,1,512,349765632,0.315
28,9,1,1024,1303511040,0.573
28,9,2,3,78750,0.051
28,9,2,6,163125,0.058
28,9,2,8,222500,0.059
28,9,2,16,485000,0.058
28,9,2,32,1130000,0.067
28,9,2,64,2900000,0.068
28,9,2,128,8360000,0.088
28,9,2,256,26960000,0.126
28,9,2,512,94880000,0.175
28,9,2,1024,353600000,0.254
28,9,4,3,22963.5,0.047
28,9,4,6,47567.25,0.048
28,9,4,8,64881,0.052
28,9,4,16,141426,0.074
28,9,4,32,329508,0.076
28,9,4,64,845640,0.08
28,9,4,128,2437776,0.088
28,9,4,256,7861536,0.092
28,9,4,512,27667008,0.125
28,9,4,1024,103109760,0.192
27,1,1,3,17496,0.042
27,1,1,6,61236,0.053
27,1,1,8,104976,0.043
27,1,1,16,396576,0.044
27,1,1,32,1539648,0.07
27,1,1,64,6065280,0.053
27,1,1,128,24074496,0.056
27,1,1,256,95924736,0.074
27,1,1,512,382952448,0.141
27,1,1,1024,1530316800,0.132
27,1,2,3,4704,0.049
27,1,2,6,16464,0.046
27,1,2,8,28224,0.047
27,1,2,16,106624,0.045
27,1,2,32,413952,0.048
27,1,2,64,1630720,0.053
27,1,2,128,6472704,0.064
27,1,2,256,25790464,0.084
27,1,2,512,102961152,0.073
27,1,2,1024,411443200,0.075
27,1,4,3,1350,0.044
27,1,4,6,4725,0.047
27,1,4,8,8100,0.044
27,1,4,16,30600,0.045
27,1,4,32,118800,0.052
27,1,4,64,468000,0.053
27,1,4,128,1857600,0.063
27,1,4,256,7401600,0.066
27,1,4,512,29548800,0.069
27,1,4,1024,118080000,0.075
27,3,1,3,48672,0.045
27,3,1,6,121680,0.045
27,3,1,8,183872,0.045
27,3,1,16,540800,0.045
27,3,1,32,1773824,0.048
27,3,1,64,6316544,0.05
27,3,1,128,23708672,0.069
27,3,1,256,91719680,0.076
27,3,1,512,360648704,0.11
27,3,1,1024,1430134784,0.152
27,3,2,3,13122,0.051
27,3,2,6,32805,0.048
27,3,2,8,49572,0.05
27,3,2,16,145800,0.047
27,3,2,32,478224,0.047
27,3,2,64,1702944,0.052
27,3,2,128,6391872,0.067
27,3,2,256,24727680,0.073
27,3,2,512,97231104,0.077
27,3,2,1024,385565184,0.094
27,3,4,3,3784.5,0.048
27,3,4,6,9461.25,0.065
27,3,4,8,14297,0.048
27,3,4,16,42050,0.051
27,3,4,32,137924,0.045
27,3,4,64,491144,0.051
27,3,4,128,1843472,0.066
27,3,4,256,7131680,0.067
27,3,4,512,28042304,0.066
27,3,4,1024,111200384,0.073
27,5,1,3,105000,0.074
27,5,1,6,232500,0.045
27,5,1,8,330000,0.042
27,5,1,16,820000,0.044
27,5,1,32,2280000,0.05
27,5,1,64,7120000,0.063
27,5,1,128,24480000,0.087
27,5,1,256,89920000,0.107
27,5,1,512,343680000,0.17
27,5,1,1024,1342720000,0.281
27,5,2,3,28392,0.047
27,5,2,6,62868,0.045
27,5,2,8,89232,0.069
27,5,2,16,221728,0.051
27,5,2,32,616512,0.05
27,5,2,64,1925248,0.052
27,5,2,128,6619392,0.064
27,5,2,256,24314368,0.083
27,5,2,512,92931072,0.099
27,5,2,1024,363071488,0.137
27,5,4,3,8232,0.048
27,5,4,6,18228,0.043
27,5,4,8,25872,0.044
27,5,4,16,64288,0.049
27,5,4,32,178752,0.067
27,5,4,64,558208,0.062
27,5,4,128,1919232,0.061
27,5,4,256,7049728,0.065
27,5,4,512,26944512,0.079
27,5,4,1024,105269248,0.104
27,7,1,3,179712,0.052
27,7,1,6,380160,0.053
27,7,1,8,525312,0.063
27,7,1,16,1198080,0.055
27,7,1,32,2985984,0.055
27,7,1,64,8331264,0.076
27,7,1,128,26099712,0.101
27,7,1,256,89948160,0.143
27,7,1,512,330891264,0.238
27,7,1,1024,1265762304,0.414
27,7,2,3,48750,0.048
27,7,2,6,103125,0.05
27,7,2,8,142500,0.054
27,7,2,16,325000,0.053
27,7,2,32,810000,0.055
27,7,2,64,2260000,0.059
27,7,2,128,7080000,0.075
27,7,2,256,24400000,0.105
27,7,2,512,89760000,0.135
27,7,2,1024,343360000,0.19
27,7,4,3,14215.5,0.045
27,7,4,6,30071.25,0.047
27,7,4,8,41553,0.049
27,7,4,16,94770,0.055
27,7,4,32,236196,0.062
27,7,4,64,659016,0.066
27,7,4,128,2064528,0.078
27,7,4,256,7115040,0.077
