HW,kernel,stride,Cin,latency
56,7,1,653,1.055
56,7,1,703,1.131
56,7,1,753,1.202
56,7,1,803,1.292
56,7,1,853,1.359
56,7,1,903,1.434
56,7,1,953,1.514
56,7,1,1003,1.584
56,7,2,3,0.044
56,7,2,53,0.07
56,7,2,103,0.086
56,7,2,153,0.173
56,7,2,203,0.131
56,7,2,253,0.152
56,7,2,303,0.175
56,7,2,353,0.194
56,7,2,403,0.219
56,7,2,453,0.239
56,7,2,503,0.261
56,7,2,553,0.28
56,7,2,603,0.301
56,7,2,653,0.321
56,7,2,703,0.347
56,7,2,753,0.375
56,7,2,803,0.389
56,7,2,853,0.412
56,7,2,903,0.431
56,7,2,953,0.455
56,7,2,1003,0.481
56,7,4,3,0.043
56,7,4,53,0.053
56,7,4,103,0.06
56,7,4,153,0.068
56,7,4,203,0.078
56,7,4,253,0.083
56,7,4,303,0.094
56,7,4,353,0.103
56,7,4,403,0.117
56,7,4,453,0.129
56,7,4,503,0.139
56,7,4,553,0.146
56,7,4,603,0.148
56,7,4,653,0.153
56,7,4,703,0.165
56,7,4,753,0.174
56,7,4,803,0.181
56,7,4,853,0.193
56,7,4,903,0.2
56,7,4,953,0.217
56,7,4,1003,0.223
56,9,1,3,0.049
56,9,1,53,0.167
56,9,1,103,0.28
56,9,1,153,0.393
56,9,1,203,0.506
56,9,1,253,0.62
56,9,1,303,0.73
56,9,1,353,0.849
56,9,1,403,0.959
56,9,1,453,1.066
56,9,1,503,1.181
56,9,1,553,1.299
56,9,1,603,1.403
56,9,1,653,1.515
56,9,1,703,1.639
56,9,1,753,1.754
56,9,1,803,1.853
56,9,1,853,1.97
56,9,1,903,2.079
56,9,1,953,2.196
56,9,1,1003,2.311
56,9,2,3,0.051
56,9,2,53,0.089
56,9,2,103,0.11
56,9,2,153,0.143
56,9,2,203,0.174
56,9,2,253,0.205
56,9,2,303,0.235
56,9,2,353,0.267
56,9,2,403,0.297
56,9,2,453,0.331
56,9,2,503,0.355
56,9,2,553,0.387
56,9,2,603,0.417
56,9,2,653,0.447
56,9,2,703,0.477
56,9,2,753,0.507
56,9,2,803,0.539
56,9,2,853,0.58
56,9,2,903,0.615
56,9,2,953,0.647
56,9,2,1003,0.676
56,9,4,3,0.051
56,9,4,53,0.064
56,9,4,103,0.073
56,9,4,153,0.083
56,9,4,203,0.1
56,9,4,253,0.115
56,9,4,303,0.12
56,9,4,353,0.135
56,9,4,403,0.151
56,9,4,453,0.16
56,9,4,503,0.175
56,9,4,553,0.185
56,9,4,603,0.198
56,9,4,653,0.209
56,9,4,703,0.222
56,9,4,753,0.23
56,9,4,803,0.244
56,9,4,853,0.258
56,9,4,903,0.271
56,9,4,953,0.283
56,9,4,1003,0.302
32,1,1,3,0.04
32,1,1,53,0.042
32,1,1,103,0.046
32,1,1,153,0.054
32,1,1,203,0.059
32,1,1,253,0.069
32,1,1,303,0.074
32,1,1,353,0.08
32,1,1,403,0.083
32,1,1,453,0.094
32,1,1,503,0.1
32,1,1,553,0.103
32,1,1,603,0.109
32,1,1,653,0.113
32,1,1,703,0.122
32,1,1,753,0.127
32,1,1,803,0.131
32,1,1,853,0.137
32,1,1,903,0.14
32,1,1,953,0.146
32,1,1,1003,0.151
32,1,2,3,0.04
32,1,2,53,0.059
32,1,2,103,0.045
32,1,2,153,0.05
32,1,2,203,0.056
32,1,2,253,0.057
32,1,2,303,0.052
32,1,2,353,0.054
32,1,2,403,0.057
32,1,2,453,0.058
32,1,2,503,0.06
32,1,2,553,0.059
32,1,2,603,0.06
32,1,2,653,0.062
32,1,2,703,0.063
32,1,2,753,0.065
32,1,2,803,0.067
32,1,2,853,0.07
32,1,2,903,0.072
32,1,2,953,0.075
32,1,2,1003,0.073
32,1,4,3,0.042
32,1,4,53,0.044
32,1,4,103,0.057
32,1,4,153,0.051
32,1,4,203,0.053
32,1,4,253,0.055
32,1,4,303,0.057
32,1,4,353,0.055
32,1,4,403,0.058
32,1,4,453,0.057
32,1,4,503,0.059
32,1,4,553,0.057
32,1,4,603,0.06
32,1,4,653,0.063
32,1,4,703,0.058
32,1,4,753,0.058
32,1,4,803,0.062
32,1,4,853,0.057
32,1,4,903,0.062
32,1,4,953,0.059
32,1,4,1003,0.058
32,3,1,3,0.04
32,3,1,53,0.045
32,3,1,103,0.057
32,3,1,153,0.07
32,3,1,203,0.077
32,3,1,253,0.087
32,3,1,303,0.097
32,3,1,353,0.107
32,3,1,403,0.118
32,3,1,453,0.128
32,3,1,503,0.137
32,3,1,553,0.146
32,3,1,603,0.155
32,3,1,653,0.165
32,3,1,703,0.175
32,3,1,753,0.181
32,3,1,803,0.194
32,3,1,853,0.204
32,3,1,903,0.216
32,3,1,953,0.221
32,3,1,1003,0.232
32,3,2,3,0.04
32,3,2,53,0.052
32,3,2,103,0.055
32,3,2,153,0.051
32,3,2,203,0.06
32,3,2,253,0.055
32,3,2,303,0.059
32,3,2,353,0.068
32,3,2,403,0.065
32,3,2,453,0.066
32,3,2,503,0.069
32,3,2,553,0.069
32,3,2,603,0.079
32,3,2,653,0.076
32,3,2,703,0.081
32,3,2,753,0.088
32,3,2,803,0.086
32,3,2,853,0.091
32,3,2,903,0.092
32,3,2,953,0.096
32,3,2,1003,0.096
32,3,4,3,0.04
32,3,4,53,0.042
32,3,4,103,0.052
32,3,4,153,0.05
32,3,4,203,0.05
32,3,4,253,0.05
32,3,4,303,0.052
32,3,4,353,0.064
32,3,4,403,0.054
32,3,4,453,0.054
32,3,4,503,0.054
32,3,4,553,0.056
32,3,4,603,0.056
32,3,4,653,0.058
32,3,4,703,0.061
32,3,4,753,0.058
32,3,4,803,0.057
32,3,4,853,0.059
32,3,4,903,0.057
32,3,4,953,0.056
32,3,4,1003,0.059
32,5,1,3,0.041
32,5,1,53,0.053
32,5,1,103,0.069
