HW,output,Cin,latency
56,7,33,0.049
56,7,63,0.058
56,7,93,0.061
56,7,123,0.064
56,7,153,0.067
56,7,183,0.071
56,7,213,0.075
56,7,243,0.078
56,7,273,0.082
56,7,303,0.081
56,7,333,0.088
56,7,363,0.091
56,7,393,0.095
56,7,423,0.095
56,7,453,0.1
56,7,483,0.106
56,7,513,0.108
56,7,543,0.112
56,7,573,0.117
56,7,603,0.118
56,7,633,0.124
56,7,663,0.13
56,7,693,0.132
56,7,723,0.132
56,7,753,0.136
56,7,783,0.136
56,7,813,0.143
56,7,843,0.15
56,7,873,0.153
56,7,903,0.158
56,7,933,0.163
56,7,963,0.165
56,7,993,0.168
56,7,1023,0.171
56,6,3,0.043
56,6,33,0.054
56,6,63,0.06
56,6,93,0.067
56,6,123,0.064
56,6,153,0.068
56,6,183,0.076
56,6,213,0.082
56,6,243,0.081
56,6,273,0.086
56,6,303,0.092
56,6,333,0.093
56,6,363,0.104
56,6,393,0.106
56,6,423,0.109
56,6,453,0.112
56,6,483,0.116
56,6,513,0.117
56,6,543,0.125
56,6,573,0.127
56,6,603,0.133
56,6,633,0.135
56,6,663,0.137
56,6,693,0.145
56,6,723,0.152
56,6,753,0.155
56,6,783,0.162
56,6,813,0.164
56,6,843,0.167
56,6,873,0.165
56,6,903,0.17
56,6,933,0.175
56,6,963,0.183
56,6,993,0.191
56,6,1023,0.194
56,1,3,0.044
56,1,33,0.06
56,1,63,0.078
56,1,93,0.069
56,1,123,0.07
56,1,153,0.068
56,1,183,0.068
56,1,213,0.069
56,1,243,0.071
56,1,273,0.072
56,1,303,0.071
56,1,333,0.076
56,1,363,0.078
56,1,393,0.075
56,1,423,0.076
56,1,453,0.079
56,1,483,0.08
56,1,513,0.082
56,1,543,0.081
56,1,573,0.085
56,1,603,0.087
56,1,633,0.112
56,1,663,0.109
56,1,693,0.099
56,1,723,0.1
56,1,753,0.098
56,1,783,0.103
56,1,813,0.107
56,1,843,0.107
56,1,873,0.112
56,1,903,0.115
56,1,933,0.121
56,1,963,0.124
56,1,993,0.12
56,1,1023,0.121
32,32,3,0.039
32,32,33,0.043
32,32,63,0.052
32,32,93,0.055
32,32,123,0.064
32,32,153,0.064
32,32,183,0.069
32,32,213,0.082
32,32,243,0.087
32,32,273,0.081
32,32,303,0.085
32,32,333,0.09
32,32,363,0.096
32,32,393,0.095
32,32,423,0.102
32,32,453,0.107
32,32,483,0.113
32,32,513,0.112
32,32,543,0.114
32,32,573,0.122
32,32,603,0.127
32,32,633,0.128
32,32,663,0.133
32,32,693,0.138
32,32,723,0.14
32,32,753,0.142
32,32,783,0.145
32,32,813,0.151
32,32,843,0.158
32,32,873,0.157
32,32,903,0.16
32,32,933,0.166
32,32,963,0.169
32,32,993,0.172
32,32,1023,0.175
32,28,3,0.04
32,28,33,0.047
32,28,63,0.06
32,28,93,0.058
32,28,123,0.071
32,28,153,0.072
32,28,183,0.075
32,28,213,0.082
32,28,243,0.085
32,28,273,0.088
32,28,303,0.092
32,28,333,0.101
32,28,363,0.105
32,28,393,0.103
32,28,423,0.111
32,28,453,0.114
32,28,483,0.119
32,28,513,0.121
32,28,543,0.124
32,28,573,0.129
32,28,603,0.134
32,28,633,0.138
32,28,663,0.143
32,28,693,0.147
32,28,723,0.152
32,28,753,0.154
32,28,783,0.159
32,28,813,0.164
32,28,843,0.168
32,28,873,0.169
32,28,903,0.174
32,28,933,0.179
32,28,963,0.187
32,28,993,0.187
32,28,1023,0.191
32,27,3,0.036
32,27,33,0.054
32,27,63,0.053
32,27,93,0.063
32,27,123,0.069
32,27,153,0.071
32,27,183,0.078
32,27,213,0.082
32,27,243,0.087
32,27,273,0.09
32,27,303,0.094
32,27,333,0.1
32,27,363,0.105
32,27,393,0.107
32,27,423,0.108
32,27,453,0.115
32,27,483,0.127
32,27,513,0.121
32,27,543,0.127
32,27,573,0.132
32,27,603,0.136
32,27,633,0.138
32,27,663,0.144
32,27,693,0.149
32,27,723,0.154
32,27,753,0.157
32,27,783,0.163
32,27,813,0.166
32,27,843,0.173
32,27,873,0.172
32,27,903,0.178
32,27,933,0.185
32,27,963,0.188
32,27,993,0.189
32,27,1023,0.199
32,14,3,0.043
32,14,33,0.049
32,14,63,0.054
32,14,93,0.058
32,14,123,0.063
32,14,153,0.062
32,14,183,0.07
32,14,213,0.074
32,14,243,0.081
32,14,273,0.078
32,14,303,0.084
32,14,333,0.091
32,14,363,0.093
32,14,393,0.094
32,14,423,0.1
32,14,453,0.103
32,14,483,0.106
32,14,513,0.107
32,14,543,0.11
32,14,573,0.117
32,14,603,0.119
32,14,633,0.12
32,14,663,0.124
32,14,693,0.127
32,14,723,0.133
32,14,753,0.132
32,14,783,0.139
32,14,813,0.142
32,14,843,0.146
32,14,873,0.148
32,14,903,0.151
32,14,933,0.158
32,14,963,0.163
32,14,993,0.164
32,14,1023,0.168
32,13,3,0.043
32,13,33,0.045
32,13,63,0.05
32,13,93,0.058
32,13,123,0.061
32,13,153,0.064
32,13,183,0.073
32,13,213,0.075
32,13,243,0.079
32,13,273,0.079
32,13,303,0.085
32,13,333,0.093
32,13,363,0.093
32,13,393,0.094
32,13,423,0.099
32,13,453,0.103
32,13,483,0.108
32,13,513,0.109
32,13,543,0.112
32,13,573,0.115
32,13,603,0.12
32,13,633,0.121
32,13,663,0.128
32,13,693,0.129
32,13,723,0.134
32,13,753,0.134
32,13,783,0.137
32,13,813,0.144
32,13,843,0.149
32,13,873,0.15
32,13,903,0.158
32,13,933,0.163
32,13,963,0.167
32,13,993,0.174
32,13,1023,0.18
32,8,3,0.041
32,8,33,0.045
32,8,63,0.056
32,8,93,0.055
32,8,123,0.061
32,8,153,0.06
32,8,183,0.061
32,8,213,0.06
32,8,243,0.061
32,8,273,0.064
32,8,303,0.064
32,8,333,0.068
32,8,363,0.074
32,8,393,0.07
32,8,423,0.078
32,8,453,0.078
32,8,483,0.078
32,8,513,0.078
32,8,543,0.079
32,8,573,0.082
32,8,603,0.084
32,8,633,0.084
32,8,663,0.086
32,8,693,0.088
32,8,723,0.09
32,8,753,0.091
32,8,783,0.092
32,8,813,0.094
32,8,843,0.098
32,8,873,0.097
32,8,903,0.099
32,8,933,0.105
32,8,963,0.106
32,8,993,0.107
32,8,1023,0.11
32,7,3,0.039
32,7,33,0.067
32,7,63,0.046
32,7,93,0.052
32,7,123,0.054
32,7,153,0.063
32,7,183,0.064
32,7,213,0.073
32,7,243,0.069
32,7,273,0.071
32,7,303,0.073
32,7,333,0.076
32,7,363,0.08
32,7,393,0.08
32,7,423,0.081
32,7,453,0.086
32,7,483,0.09
32,7,513,0.088
32,7,543,0.094
32,7,573,0.093
32,7,603,0.098
32,7,633,0.1
32,7,663,0.112
32,7,693,0.105
32,7,723,0.109
32,7,753,0.11
32,7,783,0.112
32,7,813,0.115
32,7,843,0.116
32,7,873,0.118
32,7,903,0.119
32,7,933,0.124
32,7,963,0.129
32,7,993,0.13
32,7,1023,0.134
32,6,3,0.038
32,6,33,0.044
32,6,63,0.052
32,6,93,0.054
32,6,123,0.06
32,6,153,0.066
32,6,183,0.064
32,6,213,0.066
32,6,243,0.069
32,6,273,0.068
32,6,303,0.073
32,6,333,0.076
32,6,363,0.077
32,6,393,0.08
32,6,423,0.081
32,6,453,0.086
32,6,483,0.085
32,6,513,0.089
32,6,543,0.091
32,6,573,0.093
32,6,603,0.094
32,6,633,0.098
32,6,663,0.1
32,6,693,0.104
32,6,723,0.104
32,6,753,0.107
32,6,783,0.107
32,6,813,0.109
32,6,843,0.111
32,6,873,0.113
32,6,903,0.114
32,6,933,0.118
32,6,963,0.121
32,6,993,0.123
32,6,1023,0.124
32,1,3,0.042
32,1,33,0.047
32,1,63,0.054
32,1,93,0.057
32,1,123,0.059
32,1,153,0.06
32,1,183,0.063
32,1,213,0.067
32,1,243,0.063
32,1,273,0.062
32,1,303,0.067
32,1,333,0.067
32,1,363,0.066
32,1,393,0.067
32,1,423,0.068
32,1,453,0.067
32,1,483,0.066
32,1,513,0.066
32,1,543,0.069
32,1,573,0.066
32,1,603,0.068
32,1,633,0.068
32,1,663,0.068
32,1,693,0.066
32,1,723,0.071
32,1,753,0.068
32,1,783,0.072
32,1,813,0.066
32,1,843,0.069
32,1,873,0.071
32,1,903,0.071
32,1,933,0.069
32,1,963,0.07
32,1,993,0.069
32,1,1023,0.069
28,28,3,0.039
28,28,33,0.047
28,28,63,0.065
28,28,93,0.053
28,28,123,0.063
28,28,153,0.068
28,28,183,0.07
28,28,213,0.073
28,28,243,0.078
28,28,273,0.078
28,28,303,0.086
28,28,333,0.089
28,28,363,0.092
28,28,393,0.094
28,28,423,0.097
28,28,453,0.102
28,28,483,0.104
28,28,513,0.107
28,28,543,0.111
28,28,573,0.116
28,28,603,0.118
28,28,633,0.118
28,28,663,0.122
28,28,693,0.128
28,28,723,0.131
